"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"4","60","14","6","95","0.91","19","7","0.9400000000000001","0.05","6.800000000000001","13","5.9","5","false","4","250","260","99","10","99"
"4","70","85","7","430","0.17","22","6","0.97","0.01","7.7","7","5.5","6","true","1","390","285","99","10","99"
"4","80","23","2","20","0.42","40","16","0.22","0.17","8.100000000000001","8","4.3","40","true","3","320","430","99","10","99"
"4","90","62","17","300","0.84","12","18","0.33","0","7.300000000000001","33","5.4","10","true","1","180","135","99","10","99"
"4","100","43","12","500","0.67","59","2","0.14","0.05","2","55","2.4000000000000004","26","true","4","180","250","99","10","99"
"4","110","72","3","395","0.49","55","8","0.38","0.13","6.2","27","2.4000000000000004","33","false","5","220","235","99","10","99"
"4","120","12","9","285","0.18","26","8","0.2","0.07","3.7","13","2.1","10","false","3","250","445","99","10","99"
"4","130","58","14","395","0.49","73","8","0.9400000000000001","0.12","6","14","4.2","43","true","4","270","340","99","10","99"
"4","140","4","10","275","0.74","19","15","0.07","0.04","4.4","11","4.3","23","true","3","120","220","99","10","99"
"4","150","1","11","360","0.28","94","16","0.41000000000000003","0.05","2.3","12","1","41","false","1","230","180","99","10","99"
"4","160","33","8","340","0.18","62","9","0.84","0.05","1.8","14","4.800000000000001","8","false","1","190","15","99","10","99"
"4","170","94","18","450","0.99","51","10","0.75","0.1","1.2","40","6.300000000000001","40","false","5","30","280","99","10","99"
"4","180","90","4","420","0.93","3","15","0.3","0.17","2.5","42","5","37","false","1","160","165","99","10","99"
"4","190","80","15","380","0.64","5","4","0.8300000000000001","0.04","4.800000000000001","41","6.1000000000000005","39","false","3","100","25","99","10","99"
"4","200","62","8","230","0.45","68","2","0.74","0.13","3.7","31","3.4000000000000004","43","false","3","0","85","99","10","99"
"4","210","38","2","320","0.04","32","0","0.9","0.15","2.2","33","6","28","false","2","260","85","99","10","99"
"4","220","90","12","0","0.34","87","2","0.67","0.07","8.8","43","5.1000000000000005","13","true","4","230","375","99","10","99"
"4","230","22","12","135","0.71","19","6","0.26","0.04","8.2","5","5.4","39","false","5","80","470","99","10","99"
"4","240","20","6","45","0.22","40","12","0.79","0.01","9.9","48","6.5","5","false","4","330","80","99","10","99"
"4","250","80","8","490","0.22","44","9","0.5","0.05","8.4","29","0.9","18","true","4","10","405","99","10","99"
"4","260","59","8","260","0.37","53","5","0.19","0.17","4.800000000000001","14","0.9","2","true","4","50","35","99","10","99"
"4","270","71","14","40","0.64","5","20","0.31","0.08","1.2","41","6.300000000000001","4","true","2","70","130","99","10","99"
"4","280","81","18","165","0.26","61","16","0.91","0.03","6.7","24","5.7","44","true","4","400","390","99","10","99"
"4","290","44","19","95","0.05","5","15","0.6","0.14","4.1","42","3.2","43","true","3","230","250","99","10","99"
"4","300","84","10","390","0.76","72","20","0.43","0.05","8.9","26","0.30000000000000004","13","false","5","20","280","99","10","99"
"4","310","91","7","315","0.4","22","10","0.26","0.17","8.8","53","3.1","22","true","5","370","410","99","10","99"
"4","320","90","6","40","0.84","15","11","0.55","0.03","6.5","4","6","13","false","1","380","480","99","10","99"
"4","330","11","20","345","0.23","49","13","0.74","0.06","4.7","36","2.2","37","false","1","0","50","99","10","99"
"4","340","99","15","470","0.53","4","2","0.84","0.1","6.4","40","4.5","21","true","5","120","240","99","10","99"
"4","350","55","12","450","0.63","51","18","0.88","0","6.7","26","1.2000000000000002","28","false","3","380","95","99","10","99"
"4","360","50","3","235","0.9500000000000001","54","8","0.31","0.15","3.3000000000000003","26","3.9000000000000004","42","false","1","230","495","99","10","99"
"4","370","37","8","225","0.43","91","4","0.8300000000000001","0.02","3.8000000000000003","59","3.7","6","true","5","210","445","99","10","99"
"4","380","71","15","420","0.97","22","15","0.98","0.15","6.300000000000001","33","2.8000000000000003","21","true","3","360","385","99","10","99"
"4","390","60","13","300","0.52","32","14","0.41000000000000003","0.12","6.6000000000000005","51","0.7000000000000001","38","true","2","400","215","99","10","99"
"4","400","28","4","215","0.17","76","6","0.66","0.03","1.4","15","4.7","34","true","5","200","320","99","10","99"
"4","410","20","18","430","0.1","81","7","0.53","0.1","4.7","46","0.8","18","true","5","280","10","99","10","99"
"4","420","81","4","275","0.32","87","15","0.29","0.07","1.4","3","4.6000000000000005","23","true","5","190","60","99","10","99"
"4","430","47","10","110","0.71","35","10","0.24","0.02","7.6000000000000005","60","4.9","28","false","4","230","280","99","10","99"
"4","440","17","13","110","0.56","9","10","0.2","0.12","5.9","19","0.2","42","true","2","40","370","99","10","99"
"4","450","38","15","325","0.9400000000000001","87","0","0.51","0.02","5","0","4.2","33","true","3","390","325","99","10","99"
"4","460","30","10","235","0.22","62","17","0.05","0.18","9.6","44","5.300000000000001","28","true","1","370","415","99","10","99"
"4","470","71","5","465","0.98","47","2","0.22","0.07","7.300000000000001","23","4","13","false","2","270","250","99","10","99"
"4","480","36","2","275","0.45","94","10","0.99","0.1","7.300000000000001","33","5","30","true","1","370","80","99","10","99"
"4","490","3","17","235","0.03","69","12","0.3","0.07","2.9000000000000004","59","0.6000000000000001","25","false","3","250","90","99","10","99"
"4","500","100","2","375","0.45","58","14","0.6","0.08","6.2","15","3.7","41","false","4","0","30","99","10","99"
"5","10","51","14","25","0.67","57","13","0.12","0.17","9.700000000000001","40","2.4000000000000004","4","true","2","290","145","99","10","99"
"5","20","1","8","445","0.63","15","17","0.64","0.07","4.2","13","5.1000000000000005","26","true","3","250","405","99","10","99"
"5","30","89","9","75","0.9","8","0","0.19","0.03","8.9","42","5.300000000000001","43","true","5","50","285","99","10","99"
"5","40","18","6","420","0.01","25","2","0.41000000000000003","0.03","4.9","31","3.2","3","true","4","90","355","99","10","99"
"5","50","18","2","130","0.06","94","16","0.32","0.17","2.6","7","0.2","18","true","1","40","225","99","10","99"
"5","60","59","0","460","0.52","83","19","0.87","0.17","8.100000000000001","42","0","38","false","5","270","265","99","10","99"
"5","70","30","16","5","0.36","51","17","0.23","0.02","3.8000000000000003","58","2.1","9","false","1","280","60","99","10","99"
"5","80","43","17","300","0.35000000000000003","1","19","0.28","0.15","2.9000000000000004","44","1.7000000000000002","29","true","3","190","95","99","10","99"
"5","90","95","2","360","0.42","59","8","0.85","0","9.4","14","3.8000000000000003","26","true","3","320","265","99","10","99"
"5","100","46","13","280","0.43","76","4","0.93","0.07","7.9","53","4.9","9","true","4","60","65","99","10","99"
"5","110","80","10","180","0.25","93","9","0.41000000000000003","0","1.5","27","5.5","42","true","5","340","255","99","10","99"
"5","120","53","3","485","0.9400000000000001","91","11","0.97","0.07","2.7","9","0.4","33","true","4","80","45","99","10","99"
"5","130","65","19","55","0.79","30","14","0.64","0.1","8.7","8","2.7","10","false","1","310","365","99","10","99"
"5","140","72","18","185","0.32","57","4","0.2","0.12","2.5","3","4.7","20","true","5","160","110","99","10","99"
"5","150","59","18","300","0.8","76","0","0.16","0.18","4.2","51","1.2000000000000002","21","false","3","20","335","99","10","99"
"5","160","67","3","185","0.97","89","11","0.02","0.17","4.2","12","3.9000000000000004","41","true","3","390","250","99","10","99"
"5","170","40","2","90","0.71","88","18","0.46","0.17","7.2","19","3.1","0","false","5","290","350","99","10","99"
"5","180","42","7","175","0.38","47","2","0.74","0.05","1.5","43","0.4","41","true","2","80","65","99","10","99"
"5","190","83","12","425","0.64","44","1","0.75","0.07","8.4","51","1.8","20","false","1","110","155","99","10","99"
"5","200","84","19","410","0.53","43","18","0.78","0.02","9.4","0","3.2","6","true","5","220","330","99","10","99"
"5","210","26","5","485","0.32","69","3","0.6","0.13","4.2","52","0.1","32","true","4","140","455","99","10","99"
"5","220","30","19","70","0.49","67","6","0.37","0.07","6.4","47","0.30000000000000004","43","false","1","170","20","99","10","99"
"5","230","86","11","120","0.3","4","0","0.11","0.17","6.7","16","0.2","17","true","1","260","210","99","10","99"
"5","240","79","11","225","0.78","83","15","0.71","0.16","1.5","22","4.9","33","false","1","290","190","99","10","99"
"5","250","36","12","205","0.63","47","0","0.5","0.08","4.1","24","5","33","false","3","100","110","99","10","99"
"5","260","50","18","320","0.52","93","18","0.29","0.15","1.3","33","0.8","20","true","1","190","490","99","10","99"
"5","270","83","13","460","0.28","53","18","0.23","0.03","9.6","31","5.9","28","false","3","350","285","99","10","99"
"5","280","2","20","410","0.36","55","13","0.71","0.19","2.5","12","3.7","1","false","4","240","20","99","10","99"
"5","290","87","16","95","0.93","33","3","0.52","0.07","9.200000000000001","60","5.1000000000000005","20","false","2","10","180","99","10","99"
