"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"3","250","83","8","190","0.04","63","9","0.32","0.03","2.2","15","5.9","15","true","3","210","310","687.1143559854113","10","687.1143559854113"
"3","260","56","2","235","0.33","70","2","1","0.05","4.4","4","1.2000000000000002","5","true","4","310","265","799.0346376676388","10","687.1143559854113"
"3","270","58","5","265","0.58","42","4","0.75","0.07","2.5","11","3.9000000000000004","9","false","5","120","120","731.9871944660265","10","687.1143559854113"
"3","280","20","4","285","0.42","100","17","0.22","0.15","7.1000000000000005","15","3.7","43","true","3","230","80","654.0949433717054","10","654.0949433717054"
"3","290","89","8","260","0.76","74","3","0.9","0.06","8.600000000000001","41","0.8","3","true","4","210","220","850.1516036187244","10","654.0949433717054"
"3","300","37","2","380","0.56","53","13","0.61","0.18","6.7","48","1.4000000000000001","31","true","1","150","280","775.4230632417722","10","654.0949433717054"
"3","310","35","15","345","0.72","58","3","0.77","0.01","2.1","15","1","41","true","3","180","420","739.2967625875085","10","654.0949433717054"
"3","320","69","19","310","0.3","85","20","0.67","0.12","9.1","24","2","5","true","4","130","415","764.9740715271622","10","654.0949433717054"
"3","330","91","5","300","0.24","25","2","0.06","0.05","9.9","20","2.2","3","false","3","90","250","721.7947533960413","10","654.0949433717054"
"3","340","1","2","150","0.45","26","13","0.72","0.13","5.2","25","2.7","8","true","4","290","90","714.0365365739493","10","654.0949433717054"
"3","350","46","3","315","0.79","14","11","0.19","0.14","3.7","18","2.9000000000000004","17","false","3","290","110","743.9864489004882","10","654.0949433717054"
"3","360","21","17","270","0.91","62","1","0.37","0.02","8.9","50","6.2","25","false","1","320","240","669.0458570856409","10","654.0949433717054"
"3","370","65","19","470","0.33","62","1","0.23","0.04","7.6000000000000005","25","1.4000000000000001","45","true","1","90","130","745.6019692712013","10","654.0949433717054"
"3","380","11","8","80","0.72","58","7","0.52","0.03","8","41","6.300000000000001","12","true","5","90","265","710.9885922661615","10","654.0949433717054"
"3","390","65","14","105","0.26","74","0","0.67","0.18","6.5","17","5.6000000000000005","38","false","5","290","225","790.177162225146","10","654.0949433717054"
"3","400","97","20","85","0.5700000000000001","3","5","0.6","0.05","4.1","41","0.8","11","false","3","140","395","758.4817652991321","10","654.0949433717054"
"3","410","9","4","100","0.5","31","1","0.64","0.17","1.5","16","3.1","41","false","4","380","215","763.3147649803361","10","654.0949433717054"
"3","420","12","8","280","0.97","46","18","0.37","0.03","6.2","10","2.5","30","false","5","400","220","694.0699080329757","10","654.0949433717054"
"3","430","29","5","125","0.9400000000000001","26","14","0.64","0.03","8.600000000000001","45","0.6000000000000001","26","false","4","40","105","802.1024894146466","10","654.0949433717054"
"3","440","5","8","500","0.6","48","4","0.38","0.03","3.6","30","4.800000000000001","45","false","3","320","85","785.8093401191313","10","654.0949433717054"
"3","450","37","10","75","0.5","17","8","0.9400000000000001","0.02","8.5","6","3.5","0","true","4","230","490","680.5789904203187","10","654.0949433717054"
"3","460","57","13","425","0.5700000000000001","8","4","0.6900000000000001","0.05","1.4","7","4","8","false","4","220","180","671.786778090204","10","654.0949433717054"
"3","470","59","11","45","0.62","21","1","0.75","0.05","10","18","4.800000000000001","21","false","1","210","460","755.4668558879537","10","654.0949433717054"
"3","480","9","0","160","0.91","60","16","0.37","0.17","2.7","20","6.1000000000000005","36","true","3","120","135","785.9538244682666","10","654.0949433717054"
"3","490","15","3","120","0.4","4","15","0.76","0.05","8.100000000000001","2","4","1","true","3","100","405","826.7014846930697","10","654.0949433717054"
"3","500","2","13","465","0.31","61","7","0.79","0","9.6","59","1.8","6","true","4","0","60","814.0820683453567","10","654.0949433717054"
"4","10","77","20","335","0.72","35","8","0.17","0.15","8.100000000000001","53","2.1","8","false","4","340","180","714.311787602561","10","714.311787602561"
"4","20","26","8","230","0.28","31","0","0.7000000000000001","0.05","7.4","25","2.5","20","true","4","80","485","751.4239114329393","10","714.311787602561"
"4","30","57","17","205","0.1","22","19","0.07","0.03","3.7","55","1.1","18","false","4","390","470","702.6241116124077","10","702.6241116124077"
"4","40","81","10","170","0.32","25","3","0.86","0.14","7.300000000000001","31","5","22","false","1","240","405","773.2910256583243","10","702.6241116124077"
"4","50","8","19","300","0.54","97","2","0.56","0.17","5.800000000000001","14","6.1000000000000005","10","true","5","50","175","819.7078261857063","10","702.6241116124077"
"4","60","14","6","95","0.91","19","7","0.9400000000000001","0.05","6.800000000000001","13","5.9","5","false","4","250","260","640.0116732210803","10","640.0116732210803"
"4","70","85","7","430","0.17","22","6","0.97","0.01","7.7","7","5.5","6","true","1","390","285","793.4828621804297","10","640.0116732210803"
"4","80","23","2","20","0.42","40","16","0.22","0.17","8.100000000000001","8","4.3","40","true","3","320","430","813.868100743506","10","640.0116732210803"
"4","90","62","17","300","0.84","12","18","0.33","0","7.300000000000001","33","5.4","10","true","1","180","135","744.0758031604893","10","640.0116732210803"
"4","100","43","12","500","0.67","59","2","0.14","0.05","2","55","2.4000000000000004","26","true","4","180","250","766.2272938147009","10","640.0116732210803"
"4","110","72","3","395","0.49","55","8","0.38","0.13","6.2","27","2.4000000000000004","33","false","5","220","235","734.5163985461647","10","640.0116732210803"
"4","120","12","9","285","0.18","26","8","0.2","0.07","3.7","13","2.1","10","false","3","250","445","737.7781124456247","10","640.0116732210803"
"4","130","58","14","395","0.49","73","8","0.9400000000000001","0.12","6","14","4.2","43","true","4","270","340","715.7382812803154","10","640.0116732210803"
"4","140","4","10","275","0.74","19","15","0.07","0.04","4.4","11","4.3","23","true","3","120","220","767.3242999678224","10","640.0116732210803"
"4","150","1","11","360","0.28","94","16","0.41000000000000003","0.05","2.3","12","1","41","false","1","230","180","662.8052356687932","10","640.0116732210803"
"4","160","33","8","340","0.18","62","9","0.84","0.05","1.8","14","4.800000000000001","8","false","1","190","15","765.977172122524","10","640.0116732210803"
"4","170","94","18","450","0.99","51","10","0.75","0.1","1.2","40","6.300000000000001","40","false","5","30","280","785.3","10","640.0116732210803"
"4","180","90","4","420","0.93","3","15","0.3","0.17","2.5","42","5","37","false","1","160","165","746.6853060457497","10","640.0116732210803"
"4","190","80","15","380","0.64","5","4","0.8300000000000001","0.04","4.800000000000001","41","6.1000000000000005","39","false","3","100","25","714.0528387198636","10","640.0116732210803"
"4","200","62","8","230","0.45","68","2","0.74","0.13","3.7","31","3.4000000000000004","43","false","3","0","85","826.4282523933034","10","640.0116732210803"
"4","210","38","2","320","0.04","32","0","0.9","0.15","2.2","33","6","28","false","2","260","85","828.9848353904763","10","640.0116732210803"
"4","220","90","12","0","0.34","87","2","0.67","0.07","8.8","43","5.1000000000000005","13","true","4","230","375","690.5405589482832","10","640.0116732210803"
"4","230","22","12","135","0.71","19","6","0.26","0.04","8.2","5","5.4","39","false","5","80","470","824.4280034699019","10","640.0116732210803"
"4","240","20","6","45","0.22","40","12","0.79","0.01","9.9","48","6.5","5","false","4","330","80","702.7524806045082","10","640.0116732210803"
"4","250","80","8","490","0.22","44","9","0.5","0.05","8.4","29","0.9","18","true","4","10","405","706.9586568594425","10","640.0116732210803"
"4","260","59","8","260","0.37","53","5","0.19","0.17","4.800000000000001","14","0.9","2","true","4","50","35","789.5466508218238","10","640.0116732210803"
